team,city,country,matches,share,rank,latitude,longitude,elevation_m,timezone
United States,Orlando,United States,8,0.069,1,28.53834,-81.37924,30.0,America/New_York
United States,Austin,United States,7,0.0603,2,30.26715,-97.74306,149.0,America/Chicago
United States,Kansas City,United States,7,0.0603,3,39.09973,-94.57857,274.0,America/Chicago
United States,Arlington,United States,6,0.0517,4,32.73569,-97.10807,184.0,America/Chicago
United States,Nashville,United States,6,0.0517,5,36.16589,-86.78444,170.0,America/Chicago
United States,Cincinnati,United States,5,0.0431,6,39.12711,-84.51439,191.0,America/New_York
United States,St. Louis,United States,5,0.0431,7,38.62727,-90.19789,142.0,America/Chicago
United States,Columbus,United States,4,0.0345,8,39.96118,-82.99879,235.0,America/New_York
United States,East Hartford,United States,4,0.0345,9,41.78232,-72.61203,16.0,America/New_York
United States,Inglewood,United States,4,0.0345,10,33.96168,-118.35313,40.0,America/Los_Angeles
United States,Atlanta,United States,3,0.0259,11,33.749,-84.38798,320.0,America/New_York
United States,Carson,United States,3,0.0259,12,39.1638,-119.7674,1427.0,America/Los_Angeles
United States,Chicago,United States,3,0.0259,13,41.85003,-87.65005,179.0,America/Chicago
United States,Denver,United States,3,0.0259,14,39.73915,-104.9847,1609.0,America/Denver
United States,Las Vegas,United States,3,0.0259,15,36.17497,-115.13722,610.0,America/Los_Angeles
United States,Saint Paul,United States,3,0.0259,16,44.94441,-93.09327,242.0,America/Chicago
United States,San Jose,United States,3,0.0259,17,37.33939,-121.89496,26.0,America/Los_Angeles
United States,Tampa,United States,3,0.0259,18,27.94752,-82.45843,1.0,America/New_York
United States,Charlotte,United States,2,0.0172,19,35.22709,-80.84313,229.0,America/New_York
United States,Chester,United States,2,0.0172,20,37.91366,-89.82205,204.0,America/Chicago
United States,Cleveland,United States,2,0.0172,21,41.4995,-81.69541,199.0,America/New_York
United States,East Rutherford,United States,2,0.0172,22,40.83399,-74.09709,24.0,America/New_York
United States,Fort Lauderdale,United States,2,0.0172,23,26.12231,-80.14338,1.0,America/New_York
United States,Glendale,United States,2,0.0172,24,33.53865,-112.18599,351.0,America/Phoenix
United States,Harrison,United States,2,0.0172,25,41.40916,-75.6649,230.0,America/New_York
United States,Houston,United States,2,0.0172,26,29.76328,-95.36327,12.0,America/Chicago
United States,Los Angeles,United States,2,0.0172,27,34.05223,-118.24368,89.0,America/Los_Angeles
United States,Philadelphia,United States,2,0.0172,28,39.95238,-75.16362,12.0,America/New_York
United States,San Diego,United States,2,0.0172,29,32.71571,-117.16472,20.0,America/Los_Angeles
United States,Sandy,United States,2,0.0172,30,40.59161,-111.8841,1361.0,America/Denver
United States,Santa Clara,United States,2,0.0172,31,37.35411,-121.95524,23.0,America/Los_Angeles
United States,Seattle,United States,2,0.0172,32,47.60621,-122.33207,56.0,America/Los_Angeles
United States,"Washington, D.C.",United States,2,0.0172,33,38.89511,-77.03637,7.0,America/New_York
United States,Cary,United States,1,0.0086,34,35.79154,-78.78112,152.0,America/New_York
United States,Commerce City,United States,1,0.0086,35,39.80832,-104.93387,1572.0,America/Denver
United States,Jacksonville,United States,1,0.0086,36,30.33218,-81.65565,5.0,America/New_York
United States,Landover,United States,1,0.0086,37,38.934,-76.89664,17.0,America/New_York
United States,Minneapolis,United States,1,0.0086,38,44.97997,-93.26384,253.0,America/Chicago
United States,San Antonio,United States,1,0.0086,39,29.42412,-98.49363,198.0,America/Chicago
United States Virgin Islands,Saint Croix,United States Virgin Islands,12,0.9231,1,,,,
United States Virgin Islands,Upper Bethlehem,United States Virgin Islands,1,0.0769,2,,,,
Uruguay,Montevideo,Uruguay,30,1.0,1,-34.90328,-56.18816,34.0,America/Montevideo
Uzbekistan,Tashkent,Uzbekistan,38,0.8837,1,41.26465,69.21627,424.0,Asia/Tashkent
Uzbekistan,Namangan,Uzbekistan,5,0.1163,2,40.9983,71.67257,442.0,Asia/Tashkent
Vanuatu,Port Vila,Vanuatu,17,1.0,1,-17.73648,168.31366,10.0,Pacific/Efate
Vatican City,Rome,Italy,2,1.0,1,41.89193,12.51133,20.0,Europe/Rome
Venezuela,Maturín,Venezuela,11,0.4231,1,9.74569,-63.18323,71.0,America/Caracas
Venezuela,Caracas,Venezuela,8,0.3077,2,10.48801,-66.87919,887.0,America/Caracas
Venezuela,Mérida,Venezuela,3,0.1154,3,8.57899,-71.16922,1389.0,America/Caracas
Venezuela,San Cristóbal,Venezuela,2,0.0769,4,7.76593,-72.23576,692.0,America/Caracas
Venezuela,Barinas,Venezuela,1,0.0385,5,8.62064,-70.23105,221.0,America/Caracas
Venezuela,Guayana,Venezuela,1,0.0385,6,10.37674,-69.87398,373.0,America/Caracas
Vietnam,Hanoi,Vietnam,29,0.6304,1,21.0245,105.84117,10.0,Asia/Bangkok
Vietnam,Ho Chi Minh City,Vietnam,7,0.1522,2,10.82302,106.62965,7.0,Asia/Ho_Chi_Minh
Vietnam,Việt Trì,Vietnam,4,0.087,3,21.32274,105.40198,25.0,Asia/Bangkok
Vietnam,Nam Định,Vietnam,3,0.0652,4,20.43389,106.17729,5.0,Asia/Bangkok
Vietnam,Thủ Dầu Một,Vietnam,2,0.0435,5,10.9804,106.6519,20.0,Asia/Ho_Chi_Minh
Vietnam,Haiphong,Vietnam,1,0.0217,6,20.86481,106.68345,12.0,Asia/Bangkok
Wales,Cardiff,Wales,49,0.9608,1,51.48,-3.18,17.0,Europe/London
Wales,Wrexham,Wales,2,0.0392,2,53.04664,-2.99132,87.0,Europe/London
Ynys Môn,Anglesey,Wales,6,1.0,1,53.28333,-4.33333,55.0,Europe/London
Yorkshire,Fitzwilliam,England,2,0.4,1,53.63288,-1.3769,65.0,Europe/London
Yorkshire,Ossett,England,2,0.4,2,53.67978,-1.58006,105.0,Europe/London
Yorkshire,Athersley,England,1,0.2,3,53.58032,-1.47363,84.0,Europe/London
Zambia,Ndola,Zambia,16,0.5926,1,-12.95867,28.63659,1307.0,Africa/Lusaka
Zambia,Lusaka,Zambia,11,0.4074,2,-15.40669,28.28713,1277.0,Africa/Lusaka
Zanzibar,Gombani,Zanzibar,4,1.0,1,,,,
Zimbabwe,Harare,Zimbabwe,14,1.0,1,-17.82772,31.05337,1494.0,Africa/Harare
